condition,step_index,cumulative_mass_g,per_step_mass_g,success
level1_t1.0,1,0.065000,0.065000,True
level1_t1.0,2,0.065000,0.000000,False
level1_t1.0,3,0.065000,0.000000,False
level1_t1.0,4,0.424000,0.359000,True
level1_t1.0,5,0.424000,0.000000,False
level2_t1.0,1,0.299000,0.299000,True
level2_t1.0,2,0.640000,0.341000,True
level2_t1.0,3,0.945000,0.305000,True
level2_t1.0,4,1.321000,0.376000,True
level2_t1.0,5,1.685000,0.364000,True
level3_t1.0,1,0.000000,0.000000,False
level3_t1.0,2,0.447000,0.447000,True
level3_t1.0,3,0.875000,0.428000,True
level3_t1.0,4,1.305000,0.430000,True
level3_t1.0,5,1.732000,0.427000,True
