condition,step_index,cumulative_mass_g,per_step_mass_g,success
level1_t1.0,1,0.321000,0.321000,True
level1_t1.0,2,0.646000,0.325000,True
level1_t1.0,3,0.968000,0.322000,True
level1_t1.0,4,1.289000,0.321000,True
level1_t1.0,5,1.609000,0.320000,True
level2_t1.0,1,0.346000,0.346000,True
level2_t1.0,2,0.685000,0.339000,True
level2_t1.0,3,1.025000,0.340000,True
level2_t1.0,4,1.357000,0.332000,True
level2_t1.0,5,1.701000,0.344000,True
level3_t1.0,1,0.343000,0.343000,True
level3_t1.0,2,0.706000,0.363000,True
level3_t1.0,3,1.064000,0.358000,True
level3_t1.0,4,1.422000,0.358000,True
level3_t1.0,5,1.778000,0.356000,True
level4_t1.0,1,0.369000,0.369000,True
level4_t1.0,2,0.736000,0.367000,True
level4_t1.0,3,1.103000,0.367000,True
level4_t1.0,4,1.484000,0.381000,True
level4_t1.0,5,1.851000,0.367000,True
level5_t1.0,1,0.380000,0.380000,True
level5_t1.0,2,0.749000,0.369000,True
level5_t1.0,3,1.131000,0.382000,True
level5_t1.0,4,1.503000,0.372000,True
level5_t1.0,5,1.881000,0.378000,True
