condition,step_index,cumulative_mass_g,per_step_mass_g,success
level1_t1.0,1,0.290000,0.290000,True
level1_t1.0,2,0.587000,0.297000,True
level1_t1.0,3,0.884000,0.297000,True
level1_t1.0,4,1.188000,0.304000,True
level1_t1.0,5,1.486000,0.298000,True
level2_t1.0,1,0.327000,0.327000,True
level2_t1.0,2,0.651000,0.324000,True
level2_t1.0,3,0.975000,0.324000,True
level2_t1.0,4,1.299000,0.324000,True
level2_t1.0,5,1.625000,0.326000,True
level3_t1.0,1,0.341000,0.341000,True
level3_t1.0,2,0.674000,0.333000,True
level3_t1.0,3,1.014000,0.340000,True
level3_t1.0,4,1.352000,0.338000,True
level3_t1.0,5,1.692000,0.340000,True
level4_t1.0,1,0.346000,0.346000,True
level4_t1.0,2,0.692000,0.346000,True
level4_t1.0,3,1.043000,0.351000,True
level4_t1.0,4,1.385000,0.342000,True
level4_t1.0,5,1.729000,0.344000,True
