condition,step_index,cumulative_mass_g,per_step_mass_g,success
level1_t1.0,1,0.169000,0.169000,True
level1_t1.0,2,0.533000,0.364000,True
level1_t1.0,3,0.587000,0.054000,True
level1_t1.0,4,0.600000,0.013000,True
level1_t1.0,5,0.600000,0.000000,False
level2_t1.0,1,0.010000,0.010000,True
level2_t1.0,2,0.010000,0.000000,False
level2_t1.0,3,0.068000,0.058000,True
level2_t1.0,4,0.159000,0.091000,True
level2_t1.0,5,0.319000,0.160000,True
level3_t1.0,1,0.025000,0.025000,True
level3_t1.0,2,0.096000,0.071000,True
level3_t1.0,3,0.165000,0.069000,True
level3_t1.0,4,0.437000,0.272000,True
level3_t1.0,5,0.823000,0.386000,True
level4_t1.0,1,0.237000,0.237000,True
level4_t1.0,2,0.626000,0.389000,True
level4_t1.0,3,1.275000,0.649000,True
level4_t1.0,4,2.144000,0.869000,True
level4_t1.0,5,2.728000,0.584000,True
