mode,index,mass_g,density_g_per_ml
bulk,1,0.271000,0.451667
bulk,2,0.328000,0.546667
bulk,3,0.048000,0.080000
bulk,4,0.213000,0.355000
bulk,5,0.061000,0.101667
bulk,6,0.221000,0.368333
bulk,7,0.199000,0.331667
bulk,8,0.123000,0.205000
bulk,9,0.179000,0.298333
tapped,1,0.293000,0.488333
tapped,2,0.295000,0.491667
tapped,3,0.298000,0.496667
tapped,4,0.304000,0.506667
tapped,5,0.303000,0.505000
tapped,6,0.297000,0.495000
tapped,7,0.300000,0.500000
tapped,8,0.304000,0.506667
tapped,9,0.304000,0.506667
