condition,step_index,cumulative_mass_g,per_step_mass_g,success
level2_t1.0,1,0.274000,0.274000,True
level2_t1.0,2,0.544000,0.270000,True
level2_t1.0,3,0.828000,0.284000,True
level2_t1.0,4,1.096000,0.268000,True
level2_t1.0,5,1.361000,0.265000,True
level3_t1.0,1,0.246000,0.246000,True
level3_t1.0,2,0.522000,0.276000,True
level3_t1.0,3,0.795000,0.273000,True
level3_t1.0,4,1.068000,0.273000,True
level3_t1.0,5,1.342000,0.274000,True
level4_t1.0,1,0.270000,0.270000,True
level4_t1.0,2,0.553000,0.283000,True
level4_t1.0,3,0.840000,0.287000,True
level4_t1.0,4,1.129000,0.289000,True
level4_t1.0,5,1.412000,0.283000,True
