condition,step_index,cumulative_mass_g,per_step_mass_g,success
level1_t1.0,1,0.000000,0.000000,False
level1_t1.0,2,0.000000,0.000000,False
level1_t1.0,3,0.000000,0.000000,False
level1_t1.0,4,0.000000,0.000000,False
level1_t1.0,5,0.000000,0.000000,False
level2_t1.0,1,0.230000,0.230000,True
level2_t1.0,2,0.461000,0.231000,True
level2_t1.0,3,0.769000,0.308000,True
level2_t1.0,4,0.769000,0.000000,False
level2_t1.0,5,1.017000,0.248000,True
level3_t1.0,1,0.433000,0.433000,True
level3_t1.0,2,0.857000,0.424000,True
level3_t1.0,3,1.335000,0.478000,True
level3_t1.0,4,1.639000,0.304000,True
level3_t1.0,5,2.039000,0.400000,True
