mat_name,diskID,volume_ml,bulk_density_mean,bulk_density(DS),bulk_density_stdev,tapped_density_mean,tapped_density(DS),tapped_density_stdev,hausner_ratio,hausner raito(DS calculated),angle_of_repose_deg,AoR(DS)
Ludiflash,D01,0.007,,0.4 ? 0.5,,,0.5 ? 0.65,,,1.28,,
Ludiflash,D03,0.075,0.68,0.4 ? 0.5,0.021773242,0.773333333,0.5 ? 0.65,0.021773242,1.137254902,1.28,34.44474127,
Ludiflash,D06,0.6,0.666111111,0.4 ? 0.5,0.002832789,0.761666667,0.5 ? 0.65,0.003600411,1.143452877,1.28,32.86829353,
Ludiflash,D08,1.5,0.754444444,0.4 ? 0.5,0.022485112,0.968444444,0.5 ? 0.65,0.000628539,1.28365243,1.28,8.406502368,
Ludiflash,D10,5.5,0.600363636,0.4 ? 0.5,0.019948695,0.72230303,0.5 ? 0.65,0.003563925,1.203109227,1.28,28.71402031,
NEUSILIN US2,D01,0.007,,0.13 ? 0.18,,,0.16 ? 0.22,,,1.23,,30・E・E
NEUSILIN US2,D03,0.075,0.142222222,0.13 ? 0.18,0.006285394,,0.16 ? 0.22,,,1.23,25.76164336,30・E・E
NEUSILIN US2,D06,0.6,0.176111111,0.13 ? 0.18,0.000785674,0.196666667,0.16 ? 0.22,0,1.116719243,1.23,23.37016466,30・E・E
NEUSILIN US2,D08,1.5,0.198222222,0.13 ? 0.18,0.013425607,0.228,0.16 ? 0.22,0.002372684,1.150224215,1.23,23.96829994,30・E・E
NEUSILIN US2,D10,5.5,0.160484848,0.13 ? 0.18,0.002581278,0.181878788,0.16 ? 0.22,8.57E-05,1.133308157,1.23,18.95255179,30・E・E
Kollidon VA64,D01,0.007,,0.2 ? 0.3,,,0.30 ? 0.35,,,1.3,,
Kollidon VA64,D03,0.075,0.448888889,0.2 ? 0.3,0.022662309,0.462222222,0.30 ? 0.35,0.006285394,1.02970297,1.3,32.99752457,
Kollidon VA64,D06,0.6,0.430555556,0.2 ? 0.3,0.002832789,0.486666667,0.30 ? 0.35,0,1.130322581,1.3,30.67315412,
Kollidon VA64,D08,1.5,0.499555556,0.2 ? 0.3,0.00174978,0.567333333,0.30 ? 0.35,0.004650767,1.135676157,1.3,26.09688883,
Kollidon VA64,D10,5.5,0.374363636,0.2 ? 0.3,0.001268391,0.439393939,0.30 ? 0.35,0.001426497,1.17370892,1.3,29.57162893,
Lactopress,D01,0.007,,0.47,,,,,,,,
Lactopress,D03,0.075,,0.47,,0.818666667,,0.018086213,,,34.70275126,
Lactopress,D06,0.6,,0.47,,0.835,,0.006831301,,,47.36583779,
Lactopress,D08,1.5,0.282444444,0.47,0.084931926,1.009555556,,0.009306841,,,40.86959741,
Lactopress,D10,5.5,0.711030303,0.47,0.31202544,0.758848485,,0.012162656,1.06725196,,40.62358637,
